sim_alpha,sim_beta,n,method_type,method_algo,parameter,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse
1.0,1.5,10,mrr,beta,alpha,-0.012346103295756472,0.10701491331298026,0.23929262077407107,0.08460271741862328,0.04596119295212821,0.02277004619449998
1.0,1.5,10,mrr,beta,beta,-0.3617508448880208,0.14797839872173277,0.33088975874336246,0.11698719611630615,0.21845409973018937,0.06529522068782222
1.0,1.5,10,mrr,bernard,alpha,-0.01168843318517998,0.10706658324359102,0.23940815825130943,0.08464356608544149,0.045989632460151635,0.022855146929497864
1.0,1.5,10,mrr,bernard,beta,-0.36544239522241323,0.1474338185606362,0.3296720404839527,0.11655666769690448,0.22049506764737686,0.06620912804883791
1.0,1.5,10,mle,scipy,alpha,-0.06664644905280456,0.09455517024256599,0.21143178828644282,0.07475242562787107,0.040204470049750626,0.014345433496471124
1.0,1.5,10,mle,scipy,beta,-0.07126696846594985,0.10850057574876724,0.24261466297210868,0.0857772367014334,0.052168480545582596,0.02669905082771359
1.0,1.5,50,mrr,beta,alpha,0.08542835336908068,0.023777319983292626,0.053167703805406474,0.01879762195046036,0.009559447341704067,0.00437509617732893
1.0,1.5,50,mrr,beta,beta,-0.07780311409308012,0.03638197829463605,0.08135257662272807,0.028762479298464608,0.011347917941106315,0.007564042244373831
1.0,1.5,50,mrr,bernard,alpha,0.08582061013710658,0.023781449908933352,0.05317693859988116,0.018800886943358318,0.009627406563389665,0.004394947259444336
1.0,1.5,50,mrr,bernard,beta,-0.081121970096719,0.03629300466766974,0.08115362554462671,0.028692139470239686,0.011849502783602963,0.007772158326223956
1.0,1.5,50,mle,scipy,alpha,0.08345395059852749,0.025717050204425322,0.05750507243786988,0.020331113336720708,0.009610028555369198,0.004940176571079412
1.0,1.5,50,mle,scipy,beta,-0.05321394461379843,0.04756614565756495,0.10636113511797167,0.0376043399483082,0.011881876752227146,0.0071063368874901755
1.0,1.5,100,mrr,beta,alpha,0.013062728412672642,0.01953231018339791,0.04367557332768911,0.015441647036109635,0.0016966794379851234,0.001421062114851546
1.0,1.5,100,mrr,beta,beta,-0.021732193390360522,0.06090449435993489,0.13618658952406695,0.04814923047956828,0.015309717962513394,0.00713248718576085
