Estat 0: (0,0); t=0.0568
Estat 1: (0,3); t=0.1045
Estat 2: (0,3); t=0.1238
Estat 3: (1,3); t=0.1607
Estat 4: (2,3); t=0.2029
Estat 5: (2,3); t=0.2029
Estat 6: (1,2); t=0.2029
Estat 7: (0,1); t=0.3213
Estat 8: (1,1); t=0.4019
Estat 9: (1,3); t=0.4019
Estat 10: (0,2); t=0.5830
Estat 11: (0,3); t=0.6139
Estat 12: (1,3); t=0.6373
Estat 13: (2,3); t=0.7034
Estat 14: (2,3); t=0.7034
Estat 15: (1,2); t=0.7034
Estat 16: (0,1); t=0.8040
Estat 17: (0,3); t=0.8627
Estat 18: (1,3); t=0.8747
Estat 19: (1,3); t=0.8747
Estat 20: (0,2); t=0.9530
Estat 21: (0,3); t=0.9646
Estat 22: (1,3); t=1.0234
Estat 23: (1,3); t=1.0234
Estat 24: (0,2); t=1.0970
Estat 25: (0,3); t=1.1072
Estat 26: (1,3); t=1.1335
Estat 27: (2,3); t=1.1868
Estat 28: (2,3); t=1.1868
Estat 29: (1,2); t=1.1868
Estat 30: (0,1); t=1.3246
Estat 31: (1,1); t=1.3397
Estat 32: (2,1); t=1.3413
Estat 33: (2,3); t=1.3413
Estat 34: (1,2); t=1.3413
Estat 35: (0,1); t=1.4959
Estat 36: (0,3); t=1.5096
Estat 37: (1,3); t=1.5759
Estat 38: (1,3); t=1.5759
Estat 39: (0,2); t=1.6313
Estat 40: (1,2); t=1.6781
Estat 41: (1,3); t=1.6781
Estat 42: (0,2); t=1.7018
Estat 43: (0,3); t=1.7119
Estat 44: (1,3); t=1.9119
Estat 45: (1,3); t=1.9119
Estat 46: (0,2); t=1.9733
Estat 47: (0,3); t=1.9824
Estat 48: (1,3); t=2.0235
Estat 49: (1,3); t=2.0235
Estat 50: (0,2); t=2.3273
Estat 51: (1,2); t=2.4228
Estat 52: (2,2); t=2.4544
Estat 53: (3,2); t=2.4867
Estat 54: (3,3); t=2.4867
Estat 55: (2,2); t=2.4867
Estat 56: (1,1); t=2.4867
Estat 57: (0,0); t=2.5047
Estat 58: (1,0); t=2.5165
Estat 59: (2,0); t=2.5195
Estat 60: (3,0); t=2.5985
Estat 61: (3,3); t=2.5985
Estat 62: (2,2); t=2.5985
Estat 63: (1,1); t=2.5985
Estat 64: (0,0); t=2.6175
Estat 65: (0,3); t=2.6542
Estat 66: (0,3); t=2.7015
Estat 67: (1,3); t=2.7100
Estat 68: (2,3); t=2.8507
Estat 69: (3,3); t=2.8610
Estat 70: (3,3); t=2.8610
Estat 71: (2,2); t=2.8610
Estat 72: (1,1); t=2.8610
Estat 73: (0,0); t=2.9033
Estat 74: (0,3); t=2.9634
Estat 75: (0,3); t=3.0637
Estat 76: (0,3); t=3.0820
Estat 77: (1,3); t=3.0939
Estat 78: (2,3); t=3.1253
Estat 79: (3,3); t=3.1661
Estat 80: (4,3); t=3.1746
Estat 81: (5,3); t=3.2583
Estat 82: (6,3); t=3.2759
Estat 83: (6,3); t=3.2759
Estat 84: (5,2); t=3.2759
Estat 85: (4,1); t=3.2759
Estat 86: (3,0); t=3.2806
Estat 87: (3,3); t=3.2806
Estat 88: (2,2); t=3.2806
Estat 89: (1,1); t=3.2806
Estat 90: (0,0); t=3.3572
Estat 91: (1,0); t=3.3572
Estat 92: (2,0); t=3.3796
Estat 93: (3,0); t=3.4457
Estat 94: (3,3); t=3.4457
Estat 95: (2,2); t=3.4457
Estat 96: (1,1); t=3.4457
Estat 97: (0,0); t=3.4944
Estat 98: (1,0); t=3.5117
Estat 99: (1,3); t=3.5117
Estat 100: (0,2); t=3.5326
Estat 101: (1,2); t=3.5615
Estat 102: (2,2); t=3.5769
Estat 103: (3,2); t=3.6569
Estat 104: (4,2); t=3.8113
Estat 105: (4,3); t=3.8113
Estat 106: (3,2); t=3.8113
Estat 107: (2,1); t=3.8113
Estat 108: (1,0); t=3.8481
Estat 109: (2,0); t=3.8757
Estat 110: (3,0); t=3.9316
Estat 111: (4,0); t=4.0844
Estat 112: (5,0); t=4.1964
Estat 113: (5,3); t=4.1964
Estat 114: (4,2); t=4.1964
Estat 115: (3,1); t=4.1964
Estat 116: (2,0); t=4.2526
Estat 117: (3,0); t=4.3328
Estat 118: (4,0); t=4.3483
Estat 119: (4,3); t=4.3483
Estat 120: (3,2); t=4.3483
Estat 121: (2,1); t=4.3483
Estat 122: (1,0); t=4.3686
Estat 123: (1,3); t=4.3686
Estat 124: (0,2); t=4.5138
Estat 125: (0,3); t=4.5736
Estat 126: (1,3); t=4.6532
Estat 127: (1,3); t=4.6532
Estat 128: (0,2); t=4.7070
Estat 129: (1,2); t=4.8695
Estat 130: (1,3); t=4.8695
Estat 131: (0,2); t=4.8851
Estat 132: (0,3); t=4.9241
Estat 133: (1,3); t=5.0089
Estat 134: (1,3); t=5.0089
Estat 135: (0,2); t=5.0846
Estat 136: (1,2); t=5.0971
Estat 137: (2,2); t=5.1332
Estat 138: (3,2); t=5.1837
Estat 139: (3,3); t=5.1837
Estat 140: (2,2); t=5.1837
Estat 141: (1,1); t=5.1837
Estat 142: (0,0); t=5.2241
Estat 143: (0,3); t=5.2266
Estat 144: (1,3); t=5.2465
Estat 145: (2,3); t=5.2561
Estat 146: (3,3); t=5.3847
Estat 147: (4,3); t=5.4752
Estat 148: (4,3); t=5.4752
Estat 149: (3,2); t=5.4752
Estat 150: (2,1); t=5.4752
Estat 151: (1,0); t=5.6608
Estat 152: (2,0); t=5.6825
Estat 153: (3,0); t=5.7361
Estat 154: (3,3); t=5.7361
Estat 155: (2,2); t=5.7361
Estat 156: (1,1); t=5.7361
Estat 157: (0,0); t=5.8021
Estat 158: (0,3); t=5.8266
Estat 159: (1,3); t=5.9002
Estat 160: (2,3); t=5.9060
Estat 161: (2,3); t=5.9060
Estat 162: (1,2); t=5.9060
Estat 163: (0,1); t=5.9703
Estat 164: (1,1); t=5.9764
Estat 165: (1,3); t=5.9764
Estat 166: (0,2); t=6.0380
Estat 167: (0,3); t=6.1513
Estat 168: (1,3); t=6.2038
Estat 169: (1,3); t=6.2038
Estat 170: (0,2); t=6.2825
Estat 171: (1,2); t=6.2973
Estat 172: (1,3); t=6.2973
Estat 173: (0,2); t=6.5233
Estat 174: (1,2); t=6.5578
Estat 175: (1,3); t=6.5578
Estat 176: (0,2); t=6.5629
Estat 177: (1,2); t=6.6074
Estat 178: (2,2); t=6.6489
Estat 179: (2,3); t=6.6489
Estat 180: (1,2); t=6.6489
Estat 181: (0,1); t=6.6626
Estat 182: (0,3); t=6.7092
Estat 183: (1,3); t=6.7188
Estat 184: (2,3); t=6.7407
Estat 185: (3,3); t=6.7444
Estat 186: (4,3); t=6.7507
Estat 187: (5,3); t=6.7730
Estat 188: (5,3); t=6.7730
Estat 189: (4,2); t=6.7730
Estat 190: (3,1); t=6.7730
Estat 191: (2,0); t=6.7874
Estat 192: (3,0); t=6.8001
Estat 193: (3,3); t=6.8001
Estat 194: (2,2); t=6.8001
Estat 195: (1,1); t=6.8001
Estat 196: (0,0); t=6.8862
Estat 197: (1,0); t=6.9133
Estat 198: (2,0); t=6.9177
Estat 199: (3,0); t=7.0183
Estat 200: (4,0); t=7.0336
Estat 201: (5,0); t=7.0659
Estat 202: (6,0); t=7.1610
Estat 203: (6,3); t=7.1610
Estat 204: (5,2); t=7.1610
Estat 205: (4,1); t=7.1610
Estat 206: (3,0); t=7.1925
Estat 207: (3,3); t=7.1925
Estat 208: (2,2); t=7.1925
Estat 209: (1,1); t=7.1925
Estat 210: (0,0); t=7.1989
Estat 211: (1,0); t=7.2396
Estat 212: (1,3); t=7.2396
Estat 213: (0,2); t=7.2525
Estat 214: (0,3); t=7.2718
Estat 215: (1,3); t=7.3646
Estat 216: (1,3); t=7.3646
Estat 217: (0,2); t=7.4577
Estat 218: (1,2); t=7.5489
Estat 219: (1,3); t=7.5489
Estat 220: (0,2); t=7.6416
Estat 221: (1,2); t=7.6661
Estat 222: (2,2); t=7.6811
Estat 223: (3,2); t=7.7051
Estat 224: (4,2); t=7.7237
Estat 225: (4,3); t=7.7237
Estat 226: (3,2); t=7.7237
Estat 227: (2,1); t=7.7237
Estat 228: (1,0); t=7.8134
Estat 229: (1,3); t=7.8134
Estat 230: (0,2); t=7.8397
Estat 231: (1,2); t=7.8428
Estat 232: (1,3); t=7.8428
Estat 233: (0,2); t=7.9217
Estat 234: (1,2); t=8.0015
Estat 235: (1,3); t=8.0015
Estat 236: (0,2); t=8.0708
Estat 237: (1,2); t=8.2594
Estat 238: (1,3); t=8.2594
Estat 239: (0,2); t=8.2789
Estat 240: (0,3); t=8.3622
Estat 241: (1,3); t=8.4004
Estat 242: (2,3); t=8.5753
Estat 243: (2,3); t=8.5753
Estat 244: (1,2); t=8.5753
Estat 245: (0,1); t=8.6383
Estat 246: (1,1); t=8.6654
Estat 247: (2,1); t=8.7175
Estat 248: (2,3); t=8.7175
Estat 249: (1,2); t=8.7175
Estat 250: (0,1); t=8.7312
Estat 251: (1,1); t=8.8265
